id,标题,内容,作者,平台,发布时间,发布时间戳,URL,情感,评论数,转发数,点赞数,来源,IP属地,命中关键词,行业类型
5281855403722528,#网友劝单依纯从艺先从德# 单依纯这个是承认侵权了吧，看着是想要甩锅的意思呢，真是被李荣浩预判了，近几年她自己的原创争议都挺大的，这下李荣浩都出来硬刚了，可想而知她在圈子里的艺品了，李荣浩也又发了没有授权的确认邮件，而且这次演唱会的制作总监是自己，她怎么可能不知道，想要做出好的原创，还是先学会尊重吧 #<f...,#网友劝单依纯从艺先从德#单依纯这个是承认侵权了吧，看着是想要甩锅的意思呢，真是被李荣浩预判了，近几年她自己的原创争议都挺大的，这下李荣浩都出来硬刚了，可想而知她在圈子里的艺品了，李荣浩也又发了没有授权的确认邮件，而且这次演唱会的制作总监是自己，她怎么可能不知道，想要做出好的原创，还是先学会尊重吧#单依纯侵权了但理解李荣浩的心情#,噼里啪啦吐弹幕,微博,2026-03-29 17:18:43,1774775923000,http://weibo.com/2512242665/QylqQfCoM,中性,88,196,276,新浪,,李荣;单依纯;原创,
5281828363832662,李荣浩控诉单依纯演唱会侵权演唱《李白》：1.表达自己好声音比赛过程中一直善意对待单依纯，没想到现在被强行侵权。2.对翻唱《李白》的评价是用装作无所谓的态度去赢得比赛。好刚...蹲一个当事人回应。#李荣浩 单依纯强行侵权</font...,李荣浩控诉单依纯演唱会侵权演唱《李白》：1.表达自己好声音比赛过程中一直善意对待单依纯，没想到现在被强行侵权。2.对翻唱《李白》的评价是用装作无所谓的态度去赢得比赛。好刚...蹲一个当事人回应。#李荣浩单依纯强行侵权##如何呢又能怎#,玩车豆豆,微博,2026-03-29 15:31:16,1774769476000,http://weibo.com/5376089014/QykJeg538,中性,78,14,351,新浪,,侵权;李白;李荣,
5281916326513503,#李荣浩 单依纯强行侵权# 李荣浩曾后悔没为单依纯转身，现在应该不后悔了吧 [奋斗kitty的微博视频](http://t.cn/AXIqiiUK),#李荣浩单依纯强行侵权#李荣浩曾后悔没为单依纯转身，现在应该不后悔了吧[奋斗kitty的微博视频](http://t.cn/AXIqiiUK),奋斗kitty,微博,2026-03-29 21:20:48,1774790448000,http://weibo.com/2683832713/Qyn16rksv,中性,21,0,72,新浪,广东省,李荣;kitti;微博,
5281855495735153,#单依纯曾因没拿下版权哭了一小时# 在《歌手》节目中单依纯曾被问道：“唱《李白》是不是在报复李荣浩？” 单依纯回答：“没有报复，全都是爱。”感觉肯定有沟通问题，希望原创音乐人都能解开误会。[哆啦A梦吃惊] #李荣浩4连质问单依纯<...,#单依纯曾因没拿下版权哭了一小时#在《歌手》节目中单依纯曾被问道：“唱《李白》是不是在报复李荣浩？”单依纯回答：“没有报复，全都是爱。”感觉肯定有沟通问题，希望原创音乐人都能解开误会。[哆啦A梦吃惊]#李荣浩4连质问单依纯##李荣浩单依纯强行侵权##单依纯道歉#[疾风怪宝的微博视频](http://t.cn/AXIbufLG),疾风怪宝,微博,2026-03-29 17:19:05,1774775945000,http://weibo.com/5515990153/QylqZo3Yt,中性,12,10,25,新浪,北京市,单依纯;李荣;疾风,
5281877473890102,#吴向飞喊话李荣浩道歉# 太逆天了，《路一直都在》作词人吴向飞喊话李荣浩道歉，李荣浩回应从未唱过这首歌！网友们也没有找到李荣浩唱这首歌的现场！[泪奔] 你认为吴向飞这波什么操作？ #李荣浩4连质问单依纯#,#吴向飞喊话李荣浩道歉#太逆天了，《路一直都在》作词人吴向飞喊话李荣浩道歉，李荣浩回应从未唱过这首歌！网友们也没有找到李荣浩唱这首歌的现场！[泪奔]你认为吴向飞这波什么操作？#李荣浩4连质问单依纯#,嘻笑堂HipHop,微博,2026-03-29 18:46:25,1774781185000,http://weibo.com/1163858357/Qym0rgjZA,中性,12,3,77,新浪,陕西省,李荣;吴向飞;喊话,
5281877491713233,#李荣浩 单依纯强行侵权#没有几首原创的就来开演唱会的“音乐人”是这样的[努力][努力]演唱会四分之一曲目是cover是致敬是情怀[打call][打call],#李荣浩单依纯强行侵权#没有几首原创的就来开演唱会的“音乐人”是这样的[努力][努力]演唱会四分之一曲目是cover是致敬是情怀[打call][打call],但太阳终会晒进我们的骨头缝里,微博,2026-03-29 18:46:29,1774781189000,http://weibo.com/7685441035/Qym0t7bGN,中性,11,0,2,新浪,山东省,call;演唱会;音乐人,文化
5281877436662369,我站在道德制高点一定要这样不依不饶,我站在道德制高点一定要这样不依不饶,重生之名流b皇,微博,2026-03-29 18:46:16,1774781176000,http://weibo.com/7414093193/Qym0nrXbz,负面,10,1,18,新浪,浙江省,道德制高点;不依不饶,
5281877522911193,#路一直都在 版权#吴向飞与环球音乐的版权纠纷长期未清，其置顶微博仍在维权《路一直都在》相关权益，这首歌的版权归属本身就存在争议。当年李荣浩演唱该作品时，是向版权代理方环球音乐获取授权，若已获得正式许可，从流程上看属于合规使用。环球是否真正拥有完整授权、是否侵害词作者权益，本质是吴向飞与唱片公司之间的版权纠纷，不应直接归责于李荣浩。此次事件与李荣浩维权单依纯</fo...,#路一直都在版权#吴向飞与环球音乐的版权纠纷长期未清，其置顶微博仍在维权《路一直都在》相关权益，这首歌的版权归属本身就存在争议。当年李荣浩演唱该作品时，是向版权代理方环球音乐获取授权，若已获得正式许可，从流程上看属于合规使用。环球是否真正拥有完整授权、是否侵害词作者权益，本质是吴向飞与唱片公司之间的版权纠纷，不应直接归责于李荣浩。此次事件与李荣浩维权单依纯明知被拒仍翻唱《李白》性质完全不同，前者是版权方代理争议，后者是明确被拒后强行侵权，不宜简单混为一谈，更不能以此认定双重标准。,温沉丶,微博,2026-03-29 18:46:37,1774781197000,http://weibo.com/3172272920/Qym0wcdkJ,中性,10,0,1,新浪,江苏省,李荣;版权纠纷;环球音乐,文化
5281821539439115,#李荣浩 单依纯强行侵权# 李荣浩于2026年3月29日公开发文，指控单依纯在未获授权的情况下于深圳演唱会翻唱其作品《李白》，并质疑其改编动机与专业性，引发行业版权争议。,#李荣浩单依纯强行侵权#李荣浩于2026年3月29日公开发文，指控单依纯在未获授权的情况下于深圳演唱会翻唱其作品《李白》，并质疑其改编动机与专业性，引发行业版权争议。,_溫哥華是雨季,微博,2026-03-29 15:04:09,1774767849000,http://weibo.com/7447097870/QykydDBxN,负面,10,0,1,新浪,江苏省,李荣;行业版权;专业性,科技
5281832213940023,#李荣浩 单依纯强行侵权# 蛙趣，看完了李荣浩的微博，这行为确实是实打实的侵权了啊，而且李荣浩用的是“强行侵权”这四个字。好奇两人是过去就发生过什么不愉快的事情吗？ 我记得单依纯刚出来的时候，给人感觉还不错的，只是后来不知为什么风评好像不好了，看她后面歌曲风格也...,#李荣浩单依纯强行侵权#蛙趣，看完了李荣浩的微博，这行为确实是实打实的侵权了啊，而且李荣浩用的是“强行侵权”这四个字。好奇两人是过去就发生过什么不愉快的事情吗？我记得单依纯刚出来的时候，给人感觉还不错的，只是后来不知为什么风评好像不好了，看她后面歌曲风格也是有一颗很野的心啊~蹲一个单依纯#如何呢又能怎#的回应[流鼻血][流鼻血][流鼻血],晓茗的超人,微博,2026-03-29 15:46:34,1774770394000,http://weibo.com/1998723801/QykPrgwYL,中性,10,0,40,新浪,江苏省,鼻血;李荣;侵权,
5281877478867042,李荣浩喊话单依纯：强行侵权 称已明确婉拒翻唱《李白》授权 单依纯致歉：会给大家一个答复 李荣浩再发文四连问 3月29日，李荣浩发长文公开喊话单依纯，称对方在李荣浩方婉拒翻唱授权的情况下，<font color=red...,李荣浩喊话单依纯：强行侵权称已明确婉拒翻唱《李白》授权单依纯致歉：会给大家一个答复李荣浩再发文四连问3月29日，李荣浩发长文公开喊话单依纯，称对方在李荣浩方婉拒翻唱授权的情况下，强行侵权演唱《李白》。李荣浩提到，单依纯在《歌手》节目中的翻唱，让网上针对自己的调侃热搜满天飞。并表示：“短短几年时间，从一个站在舞台上被吓得流眼泪的小女孩，到昨天的强行侵权，这些真的让人唏嘘。”同日下午，单依纯发文回应：会和团队尽快搞清楚状况，给大家一个答复，并对李荣浩老师，以及因为这件事造成困扰的老师们诚恳道歉。随后，李荣浩再发文回应：中国著作权协会今日发来确认邮件，“我公司没有授权，没有可授权第三方。请问你用什么立场、什么权利、什么角度、什么心态演唱？”,橘橘顶呱呱,微博,2026-03-29 18:46:25,1774781185000,http://weibo.com/7475831535/Qym0rBcIO,中性,10,2,64,新浪,四川省,李荣;单依纯;授权,
